record_id,source,item_label,category,material_family,material_keywords,weight_kg,weight_kg_filled,weight_imputed,width_cm,depth_cm,height_cm,volume_l,size_bin,weight_bin,missing_dimensions,missing_weight,missing_materials,url,product_url
s19384116,IKEA,sofas_armchairs_sofas_sectionals_three_seat_sofas,sofas armchairs sofas sectionals three seat sofas,mixed,"particleboard,plywood,solid,wood,polyurethane,foam,1,2,lb,cu,ft,laminated,veneer,lumber,fiberboard,particleboard,solid,wood,polyurethane,foam,1,2,lb,cu,ft,polyurethane,foam,1,5,lb,cu,ft,laminated,veneer,lumber,fiberboard,100,polyester,100,recycled,felt,liner,polyurethane,foam,2,0,lb,cu,ft,high,resilience,polyurethane,foam,cold,foam,2,2,lb,cu,ft,30,cut,polyurethane,foam,70,polyester,fibers,steel,polypropylene,polyester,wadding,100,polyester,100,recycled,100,cotton",72.14834352,72.14834352,False,224.16,92.08,48.9,1009.32792192,extra_large,very_heavy,False,False,False,https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818565_pe774487_s5.jpg,https://www.ikea.com/us/en/p/uppland-sofa-blekinge-white-s19384116/
80550885,IKEA,sofas_armchairs_sofas_sectionals_three_seat_sofas,sofas armchairs sofas sectionals three seat sofas,unknown,,,45.0,True,200.98,91.12,81.92,1500.225339392,extra_large,very_heavy,False,True,True,https://www.ikea.com/us/en/images/products/gammalbyn-sofa-gray__0868926_pe781434_s5.jpg,https://www.ikea.com/us/en/p/gammalbyn-sofa-gray-80550885/
s89318321,IKEA,sofas_armchairs_sofas_sectionals_three_seat_sofas,sofas armchairs sofas sectionals three seat sofas,mixed,"plywood,solid,pine,particleboard,fiberboard,plywood,solid,pine,polyurethane,foam,1,5,lb,cu,ft,particleboard,fiberboard,polyurethane,foam,1,5,lb,cu,ft,high,resilience,polyurethane,foam,cold,foam,2,2,lb,cu,ft,polyester,wadding,100,polyester,min,90,recycled,solid,wood,oak,veneer,clear,lacquer",63.33051504,63.33051504,False,206.06,92.08,80.96,1536.1354286079998,extra_large,very_heavy,False,False,False,https://www.ikea.com/us/en/images/products/morabo-sofa-gunnared-dark-gray-wood__0602117_pe680186_s5.jpg,https://www.ikea.com/us/en/p/morabo-sofa-gunnared-dark-gray-wood-s89318321/
80512247,IKEA,sofas_armchairs_sofas_sectionals_three_seat_sofas,sofas armchairs sofas sectionals three seat sofas,mixed,"plywood,felt,liner,laminated,veneer,lumber,polyurethane,foam,1,5,lb,cu,ft,fiberboard,fiberboard,steel,felt,liner,epoxy,polyester,powder,coating,plywood,polyurethane,foam,1,2,lb,cu,ft,100,recycled,solid,cardboard,fiberboard,fiberboard,polyurethane,foam,1,5,lb,cu,ft,abs,plastic",36.173962,36.173962,False,196.85,80.64,75.88,1204.51790592,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/linanaes-sofa-vissle-dark-gray__1013898_pe829450_s5.jpg,https://www.ikea.com/us/en/p/linanaes-sofa-vissle-dark-gray-80512247/
s69489639,IKEA,sofas_armchairs_sofas_sectionals_three_seat_sofas,sofas armchairs sofas sectionals three seat sofas,mixed,"solid,wood,particleboard,plywood,polyurethane,foam,1,2,lb,cu,ft,fiberboard,laminated,veneer,lumber,steel,polypropylene,felt,liner,high,resilience,polyurethane,foam,cold,foam,2,2,lb,cu,ft,polyurethane,foam,2,0,lb,cu,ft,100,polyester,hollow,fiber,100,recycled,100,polyester,100,recycled,polyester,wadding,100,polyester,100,recycled,43,cotton,27,viscose,rayon,18,polyester,100,recycled,12,linen",43.06402448,43.06402448,False,232.09,93.03,35.56,767.787790812,extra_large,very_heavy,False,False,False,https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1193814_pe901641_s5.jpg,https://www.ikea.com/us/en/p/hyltarp-sofa-gransel-natural-s69489639/
s39440593,IKEA,sofas_armchairs_sofas_sectionals_three_seat_sofas,sofas armchairs sofas sectionals three seat sofas,mixed,"polyester,wadding,fiberboard,plywood,solid,wood,particleboard,fiberboard,solid,wood,plywood,particleboard,high,resilience,polyurethane,foam,cold,foam,2,2,lb,cu,ft,polyurethane,foam,2,0,lb,cu,ft,steel,polyester,fiber,balls,100,polyester,min,90,recycled,100,polyester,100,recycled",53.72343648,53.72343648,False,227.97,94.93,82.87,1793.4055893270001,extra_large,very_heavy,False,False,False,https://www.ikea.com/us/en/images/products/kivik-sofa-tibbleby-beige-gray__1056144_pe848277_s5.jpg,https://www.ikea.com/us/en/p/kivik-sofa-tibbleby-beige-gray-s39440593/
40595942,IKEA,sofas_armchairs_sofas_sectionals_three_seat_sofas,sofas armchairs sofas sectionals three seat sofas,mixed,"100,polyester,min,90,recycled,polyester,wadding,steel,steel,epoxy,polyester,powder,coating,plywood,laminated,veneer,lumber,steel,steel,epoxy,polyester,powder,coating,steel,epoxy,polyester,powder,coating,polyurethane,foam,1,5,lb,cu,ft,felt,liner,steel,100,polyester,hollow,fiber,100,recycled,30,cut,polyurethane,foam,70,polyester,fibers,polyurethane,foam,polypropylene,steel,galvanized",26.308336,26.308336,False,171.13,78.11,19.05,254.64066991500002,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/glostad-sofa-knisa-dark-gray__1234948_pe917261_s5.jpg,https://www.ikea.com/us/en/p/glostad-sofa-knisa-dark-gray-40595942/
s69517048,IKEA,beds_mattresses_beds_sleeper_sofas_sofa_beds_sectional_sleeper_sofas,beds mattresses beds sleeper sofas sofa beds sectional sleeper sofas,mixed,"100,polyester,min,90,recycled,particleboard,fiberboard,100,polyester,min,70,recycled,polyurethane,foam,1,5,lb,cu,ft,100,polyester,100,recycled,100,polyester,min,90,recycled,solid,wood,plywood,particleboard,plywood,particleboard,melamine,foil,100,polyester,100,recycled,polypropylene,plywood,particleboard,solid,wood,fiberboard,particleboard,100,polyester,min,70,recycled,polyurethane,foam,2,0,lb,cu,ft,100,polyester,min,90,recycled",41.10450704,41.10450704,False,229.87,151.13,26.67,926.5225501770001,extra_large,very_heavy,False,False,False,https://www.ikea.com/us/en/images/products/friheten-sleeper-sectional-3-seat-w-storage-faringe-light-gray__1320707_pe941322_s5.jpg,https://www.ikea.com/us/en/p/friheten-sleeper-sectional-3-seat-w-storage-faringe-light-gray-s69517048/
s79440586,IKEA,sofas_armchairs_sofas_sectionals_sofas_with_chaise,sofas armchairs sofas sectionals sofas with chaise,mixed,"polyester,wadding,fiberboard,particleboard,plywood,solid,wood,high,resilience,polyurethane,foam,cold,foam,2,2,lb,cu,ft,polyurethane,foam,2,0,lb,cu,ft,felt,liner,steel,polyester,fiber,balls,polyester,wadding,fiberboard,plywood,solid,wood,particleboard,fiberboard,solid,wood,plywood,particleboard,high,resilience,polyurethane,foam,cold,foam,2,2,lb,cu,ft,polyurethane,foam,2,0,lb,cu,ft,steel,polyester,fiber,balls,100,polyester,min,90,recycled,100,polyester,100,recycled",48.58877504,48.58877504,False,280.04,162.88,82.87,3779.9422826240007,extra_large,very_heavy,False,False,False,https://www.ikea.com/us/en/images/products/kivik-sofa-with-chaise-tibbleby-beige-gray__1056147_pe848280_s5.jpg,https://www.ikea.com/us/en/p/kivik-sofa-with-chaise-tibbleby-beige-gray-s79440586/
s09305695,IKEA,sofas_armchairs_sofas_sectionals_three_seat_sofas,sofas armchairs sofas sectionals three seat sofas,mixed,"100,polyester,plywood,fiberboard,steel,solid,wood,100,polyester,hollow,fiber,100,recycled,polyurethane,foam,1,2,lb,cu,ft,high,resilience,polyurethane,foam,cold,foam,2,2,lb,cu,ft,polyester,wadding,plywood,fiberboard,polyurethane,foam,1,5,lb,cu,ft,solid,wood,steel,epoxy,polyester,powder,coating,100,polyester,hollow,fiber,100,recycled,polyurethane,foam,1,2,lb,cu,ft,high,resilience,polyurethane,foam,cold,foam,2,2,lb,cu,ft,polyester,wadding,100,polyester,76,cotton,24,polyester,100,recycled,100,polypropylene",34.64535696,34.64535696,False,192.09,99.06,36.2,688.8293614800001,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/soederhamn-sofa-with-open-end-viarp-beige-brown__0802679_pe768540_s5.jpg,https://www.ikea.com/us/en/p/soederhamn-sofa-with-open-end-viarp-beige-brown-s09305695/
